id,player,cost,sel,form,pts
0,AzpilicuetaCHE DEF,6.5,15.80%,0,175
1,AlonsoCHE DEF,6.5,17.00%,0,165
2,OtamendiMCI DEF,6.5,9.30%,0,156
3,ValenciaMUN DEF,6.5,6.50%,0,146
4,DaviesTOT DEF,6,8.40%,0,143
5,WalkerMCI DEF,6.5,8.40%,0,138
6,VertonghenTOT DEF,6,8.40%,0,138
7,BellerínARS DEF,5.5,12.70%,0,132
8,MosesCHE DEF,6,6.50%,0,131
9,MonrealARS DEF,5.5,4.00%,0,130
10,SmallingMUN DEF,6,4.90%,0,123
11,CresswellWHU DEF,5.5,2.40%,0,118
12,MaguireLEI DEF,5.5,21.40%,0,117
13,JonesMUN DEF,5.5,3.70%,0,116
14,LascellesNEW DEF,5,8.70%,0,116
15,RüdigerCHE DEF,6,3.40%,0,115
16,TrippierTOT DEF,6,25.30%,0,113
17,RobertsonLIV DEF,6,16.00%,0,111
18,LovrenLIV DEF,5,10.40%,0,110
19,MustafiARS DEF,5.5,1.00%,0,109
20,KolasinacARS DEF,5,4.60%,0,108
21,ZankaHUD DEF,4.5,10.60%,0,107
22,SánchezTOT DEF,6,3.10%,0,107
23,BertrandSOU DEF,5,4.80%,0,103
24,AkéBOU DEF,5,5.70%,0,102
25,WardBUR DEF,5,9.00%,0,102
26,SchindlerHUD DEF,4.5,3.40%,0,102
27,TarkowskiBUR DEF,5,7.80%,0,101
28,KoscielnyARS DEF,5.5,0.30%,0,100
29,DuffyBHA DEF,4.5,0.70%,0,100
30,DaniloMCI DEF,5.5,1.10%,0,100
31,TomkinsCRY DEF,4.5,11.20%,0,99
32,YoungMUN DEF,6,5.00%,0,98
33,DunkBHA DEF,4.5,3.80%,0,97
34,van AanholtCRY DEF,5.5,5.70%,0,95
35,DanielsBOU DEF,4.5,17.40%,0,94
36,MeeBUR DEF,5,4.70%,0,90
37,ZabaletaWHU DEF,4.5,2.80%,0,90
38,LowtonBUR DEF,5,0.80%,0,89
39,YedlinNEW DEF,4.5,1.80%,0,88
40,GomezLIV DEF,5,0.10%,0,86
41,CédricSOU DEF,4.5,15.90%,0,85
42,BrunoBHA DEF,4.5,0.30%,0,84
43,Steve CookBOU DEF,4.5,0.90%,0,83
44,Alexander-ArnoldLIV DEF,5,17.60%,0,83
45,BainesEVE DEF,5.5,2.50%,0,82
46,SakhoCRY DEF,5,1.20%,0,81
47,KeaneEVE DEF,5,2.10%,0,81
48,MatipLIV DEF,5,0.50%,0,81
