id,player,cost,sel,form,pts
0,KaneTOT FWD,12.5,33.50%,0,217
1,VardyLEI FWD,9,9.10%,0,183
2,FirminoLIV FWD,9.5,37.70%,0,181
3,AgüeroMCI FWD,11,11.70%,0,169
4,LukakuMUN FWD,11,15.90%,0,162
5,ArnautovicWHU FWD,7,23.70%,0,144
6,LacazetteARS FWD,9.5,2.80%,0,138
7,ZahaCRY FWD,7,30.20%,0,136
8,JesusMCI FWD,10.5,3.10%,0,126
9,PérezNEW FWD,6.5,4.10%,0,124
10,MorataCHE FWD,9,2.90%,0,122
11,MurrayBHA FWD,6.5,1.70%,0,111
12,KingBOU FWD,6.5,4.20%,0,110
13,WoodBUR FWD,6.5,3.00%,0,104
14,RashfordMUN FWD,7,7.40%,0,104
15,WilsonBOU FWD,6,4.20%,0,102
16,DepoitreHUD FWD,5.5,1.80%,0,94
17,GayleNEW FWD,6,0.80%,0,94
18,ChicharitoWHU FWD,6.5,2.50%,0,93
19,BarnesBUR FWD,6,1.50%,0,92
20,MounieHUD FWD,6,0.30%,0,92
21,Calvert-LewinEVE FWD,5.5,2.40%,0,88
22,AubameyangARS FWD,11,24.50%,0,87
23,BentekeCRY FWD,6.5,1.50%,0,84
24,NiasseEVE FWD,5.5,1.60%,0,83
