id,player,cost,sel,form,pts
0,De GeaMUN GKP,6,30.60%,0,172
1,EdersonMCI GKP,5.5,16.90%,0,158
2,FabianskiWHU GKP,4.5,24.00%,0,157
3,PopeBUR GKP,5,8.10%,0,152
4,RyanBHA GKP,4.5,6.30%,0,146
5,PickfordEVE GKP,5,22.10%,0,145
6,LlorisTOT GKP,5.5,8.60%,0,144
7,CourtoisCHE GKP,5.5,7.70%,0,136
8,LösslHUD GKP,4.5,2.80%,0,135
9,CechARS GKP,5,1.10%,0,124
10,SchmeichelLEI GKP,5,4.90%,0,123
11,FosterWAT GKP,4.5,3.70%,0,123
12,BegovicBOU GKP,4.5,4.70%,0,112
13,HennesseyCRY GKP,4.5,1.50%,0,99
14,KariusLIV GKP,5,0.70%,0,88
