id,player,cost,sel,form,pts
0,SalahLIV MID,13,47.10%,0,303
1,SterlingMCI MID,11,3.20%,0,229
2,De BruyneMCI MID,10,27.10%,0,209
3,EriksenTOT MID,9.5,16.80%,0,199
4,MahrezMCI MID,9,9.10%,0,195
5,SanéMCI MID,9.5,18.30%,0,179
6,SonTOT MID,8.5,8.50%,0,178
7,AlliTOT MID,9,3.60%,0,175
8,HazardCHE MID,10.5,9.40%,0,173
9,David SilvaMCI MID,8.5,6.90%,0,169
10,GroßBHA MID,7,12.70%,0,164
11,ShaqiriLIV MID,7.5,3.60%,0,155
12,SánchezMUN MID,10.5,7.10%,0,152
13,ManéLIV MID,9.5,12.10%,0,147
14,MilivojevicCRY MID,6.5,12.70%,0,144
15,PogbaMUN MID,8,14.20%,0,138
16,DoucouréWAT MID,6,6.40%,0,136
17,RamseyARS MID,7.5,4.70%,0,130
18,WillianCHE MID,7.5,7.80%,0,130
19,LingardMUN MID,7,15.50%,0,128
20,MartialMUN MID,7.5,2.60%,0,125
21,RicharlisonWAT MID,6.5,4.50%,0,125
22,TownsendCRY MID,6,2.00%,0,121
23,FernandinhoMCI MID,5.5,5.70%,0,120
24,GudmundssonBUR MID,6,2.30%,0,117
25,RitchieNEW MID,6,1.10%,0,116
26,MooyHUD MID,5.5,4.40%,0,113
27,ÖzilARS MID,8.5,2.40%,0,112
28,Bernardo SilvaMCI MID,7.5,0.70%,0,112
29,XhakaARS MID,5.5,4.60%,0,109
30,MkhitaryanARS MID,7,20.80%,0,107
31,AlbrightonLEI MID,5.5,1.40%,0,107
32,LanziniWHU MID,6.5,0.10%,0,106
33,IzquierdoBHA MID,6,0.70%,0,101
34,KantéCHE MID,5,14.00%,0,101
35,McArthurCRY MID,5,2.20%,0,101
36,CorkBUR MID,5,1.10%,0,100
37,MataMUN MID,6.5,1.00%,0,100
38,FraserBOU MID,5.5,0.80%,0,97
39,SigurdssonEVE MID,7.5,3.20%,0,96
40,ChamberlainLIV MID,6.5,0.10%,0,94
41,MaticMUN MID,5,3.70%,0,91
42,IwobiARS MID,5.5,0.80%,0,89
43,FàbregasCHE MID,6.5,1.50%,0,89
44,KnockaertBHA MID,5.5,0.60%,0,88
45,StephensBHA MID,4.5,11.60%,0,87
46,PröpperBHA MID,5,0.20%,0,87
47,GueyeEVE MID,5,0.60%,0,87
48,KouyatéWHU MID,5,0.40%,0,86
49,IbeBOU MID,5.5,0.70%,0,85
50,HendrickBUR MID,5.5,0.20%,0,85
51,WijnaldumLIV MID,5.5,0.50%,0,85
52,DierTOT MID,5,1.80%,0,85
53,Ward-ProwseSOU MID,5.5,0.70%,0,84
54,NobleWHU MID,5,0.40%,0,84
55,SurmanBOU MID,5,0.60%,0,82
56,InceHUD MID,5,0.30%,0,82
57,GündoganMCI MID,5.5,1.60%,0,82
58,PedroCHE MID,6.5,0.70%,0,81
59,PereyraWAT MID,6,0.40%,0,81
60,GrayLEI MID,5.5,0.90%,0,80
